2019,Institution_Name,Country,Classification,,,,,Academic_Reputation,Academic_Reputation_Rank,Employer_Reputation,Employer_Reputation_Rank,Faculty_Student,Faculty_Student_Rank,Citations_per_Faculty,Citations_per_Faculty_Rank,International_Faculty,International_Faculty_Rank,International_Students,International_Students_Rank,Overall_Score,Continent
64,RUPRECHT-KARLS-UNIVERSITÄT HEIDELBERG,Germany,L,FC,VH,5,A,78.4,67,55.4,143,91.4,81,36.8,348,53.6,318,52.4,273,68,Europe
65,ECOLE POLYTECHNIQUE,France,S,CO,VH,5,A,46.8,163,99.7,12,99.9,25,47.3,262,95.4,127,95.8,75,67.9,Europe
66,UNIVERSITY OF WASHINGTON,United States,XL,FC,VH,5,A,85,54,46.5,188,21,601+,99.5,12,58.6,299,38.4,359,67.8,North America
67,OSAKA UNIVERSITY,Japan,L,FC,VH,4,A,79.4,63,70.5,99,81.3,142,52.2,211,23.9,496,15.5,584,67.7,Asia
68,ZHEJIANG UNIVERSITY,China,XL,FC,VH,5,A,65.6,95,85,56,60.9,248,69.2,105,86.9,183,45.1,313,67.5,Asia
69,UNIVERSITY OF GLASGOW,United Kingdom,L,FC,VH,5,A,70.4,80,59.6,127,60.7,250,57.2,180,94.3,134,96.7,68,67.4,Europe
69,GEORGIA INSTITUTE OF TECHNOLOGY (GEORGIA TECH),United States,L,CO,VH,5,A,73.5,75,74.6,88,23.5,597,100,6,42.4,364,70.9,187,67.4,North America
71,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,United States,XL,FC,VH,5,A,89.1,42,53.6,151,15.9,601+,90.7,32,20.7,522,70,191,67,North America
72,NATIONAL TAIWAN UNIVERSITY (NTU),Taiwan,XL,FC,VH,4,A,88.6,43,70.7,98,40.2,381,68.7,107,16.6,578,19.8,529,66.3,Asia
73,UNIVERSIDAD DE BUENOS AIRES,Argentina,XL,FC,VH,5,A,86.1,53,91.6,45,79.1,153,2.5,601+,53.4,319,68.5,199,66.2,South America
74,DURHAM UNIVERSITY,United Kingdom,L,FC,VH,5,A,57.1,122,94.1,33,38,404,82.5,57,95.5,125,87.5,117,65.7,Europe
75,SORBONNE UNIVERSITY,France,XL,FC,VH,1,A,88.4,45,46.6,187,59.4,261,39.7,326,41.4,371,54.6,264,64.8,Europe
75,THE UNIVERSITY OF SHEFFIELD,United Kingdom,L,FC,VH,5,A,61,109,64.1,113,64.5,227,58.8,171,88.9,173,94.2,85,64.8,Europe
77,TOHOKU UNIVERSITY,Japan,L,FC,VH,5,A,68.7,85,61.8,121,98.4,46,45.7,274,14.5,601+,18.2,545,64.3,Asia
78,UNIVERSITY OF ZURICH,Switzerland,L,FC,VH,5,A,55.6,130,70.8,96,99,44,31.8,410,100,46,59.2,247,63.6,Europe
79,UNIVERSITY OF COPENHAGEN,Denmark,XL,FC,VH,5,A,67.2,87,47,183,99.9,21,28.8,443,91.6,154,28,447,63.5,Europe
79,UNIVERSITY OF BIRMINGHAM,United Kingdom,L,FC,VH,5,A,63.6,100,84.9,57,53.6,288,48.5,248,91.5,155,88.2,113,63.5,Europe
81,KATHOLIEKE UNIVERSITEIT LEUVEN,Belgium,XL,FC,VH,5,A,76.5,71,60.8,123,13.4,601+,87.1,47,89.6,168,39.8,350,63.4,Europe
82,THE UNIVERSITY OF NOTTINGHAM,United Kingdom,L,FC,VH,5,A,61.3,108,79.5,77,60.4,254,47.5,258,93.5,139,83.8,131,63.1,Europe
83,POHANG UNIVERSITY OF SCIENCE AND TECHNOLOGY (POSTECH),South Korea,S,FO,VH,3,B,38.7,199,49.2,170,99.8,30,99.6,10,46.6,343,5.4,601+,63,Asia
83,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",United States,L,FC,VH,5,A,68.1,86,43.1,211,95.5,60,49.6,236,31.7,441,12.7,601+,63,North America
85,THE UNIVERSITY OF AUCKLAND,New Zealand,L,FC,VH,5,A,82.7,60,59.4,129,21.3,601+,52.3,210,87,182,91.3,95,62.8,Oceania
86,KOREA UNIVERSITY,South Korea,L,FC,VH,5,B,66.7,91,84.7,58,86.8,109,34.8,365,16.9,576,44.2,321,62.7,Asia
87,UNIVERSITI MALAYA (UM),Malaysia,L,FC,VH,5,A,63.9,99,57.7,135,93.5,74,32.6,399,55.9,311,61.2,237,62.6,Asia
87,RICE UNIVERSITY,United States,M,FC,VH,5,B,38.7,198,18.5,488,85.6,113,96,20,89.6,167,85.3,124,62.6,North America
89,OHIO STATE UNIVERSITY,United States,XL,FC,VH,5,A,64.8,97,55.6,142,81.7,140,41.3,315,81.8,201,41.2,339,62.4,North America
90,LOMONOSOV MOSCOW STATE UNIVERSITY,Russia,XL,FO,VH,5,A,71.3,79,78.2,83,99.7,31,6.7,601+,16.6,579,73.1,173,62.3,Asia
